crop_name,soil_type,crop_age_days,day_of_year,temperature_C,humidity_%,rainfall_mm,effective_rainfall_mm,solar_radiation_MJ_m2_day,wind_speed_m_s,field_capacity_%,wilting_point_%,soil_moisture_%,reference_evapotranspiration_ET0_mm_day,crop_coefficient_Kc,application_efficiency_%,root_zone_depth_m,available_water_content_mm_per_m,irrigation_interval_days,p_fraction,irrigate,irrigation_amount_m3
Tomato,Sandy,32,306,18.13,60.56,3.66,3.49,7.44,0.66,21.41,9.58,13.85,2,0.878,84.05,0.791,93.16,7,0.562,1,327.1828
Rice,Clayey,76,134,37.39,49.56,0.83,0.38,16.48,0.63,39.33,21.49,36.47,2.526,1.009,69.72,1.157,90.18,7,0.526,0,0
Wheat,Clayey,99,219,25.14,58.08,0.12,0.07,19.87,3.46,35.96,23.33,30.45,2.097,0.511,77.26,0.923,171.9,8,0.31,1,236.7073
Wheat,Clayey,52,319,36.92,73.05,1,0.71,19.52,1.19,36.37,22.58,26.75,2.931,1.028,68.45,0.387,140.98,2,0.578,1,204.5752
Maize,Loamy,32,157,25.55,39.69,2.04,1.62,29.06,0.73,34.52,19.05,25.53,2.457,0.912,77.28,1.146,81.74,1,0.373,1,534.3429
Tomato,Clayey,9,188,27.19,31.13,5.56,3.64,12.4,4.9,37.96,23.86,37.89,2.477,0.489,66.33,0.717,163.86,2,0.346,0,0
Rice,Clayey,78,162,33.51,55.8,2.13,0.98,24.05,1.59,37.52,22.02,36,2.82,0.991,84.26,0.823,112.65,2,0.514,0,0
Tomato,Silty,13,129,31.62,50.94,0.59,0.47,23.08,2.58,29.86,14.12,27.27,3.299,0.573,74.42,1.038,147.63,4,0.336,0,0
Wheat,Sandy,56,304,29.25,57.33,14.79,14.28,6.53,3.26,20.12,10.78,11.45,2,0.984,87.52,0.492,165.19,2,0.407,1,199.3176
Tomato,Loamy,44,89,24.59,90.53,0.94,0.9,28.25,1.15,31.18,16.13,18.86,2,0.967,78.9,0.761,155.39,5,0.599,0,0
Rice,Silty,97,162,33.23,75.96,12.66,7.22,28.28,2.11,31.88,15.43,24.98,3.481,0.818,84.84,1.073,162.16,9,0.429,0,0
Tomato,Loamy,96,36,36.81,51.28,8.26,7.49,14.91,3.41,35.27,17.82,30.02,2.746,0.731,85.51,0.963,160.43,3,0.393,0,0
Rice,Silty,83,227,15.23,41.65,2.35,1.96,15.44,3.38,26.2,12.99,20.18,2.163,0.945,75.79,0.615,94.91,10,0.348,1,208.0901
Wheat,Sandy,30,151,28.52,70.2,0.29,0.23,25.49,4.29,25.43,10.85,18.88,2.17,0.89,81.49,0.83,118.77,2,0.599,1,45.5027
Wheat,Silty,16,81,34.92,72.74,3.57,3.4,17.38,2.47,29.63,17.27,22.91,2.396,0.698,76.67,0.307,171.43,4,0.474,1,115.8191
Wheat,Loamy,12,47,30.02,61.44,5.61,2.3,24.98,4.5,31.85,19.55,26.79,3.284,0.586,60.68,0.343,89.38,8,0.385,0,0
Maize,Clayey,74,204,33.42,43.83,1.77,1.73,5.9,3.57,43.57,24.31,30.28,2.982,0.996,81.55,0.402,177.64,5,0.329,1,291.0555
Wheat,Clayey,66,148,35.59,31.86,0.82,0.79,11.26,3.03,41.41,24.05,24.05,2.877,0.874,89.81,0.925,102.65,1,0.561,0,0
Tomato,Sandy,18,231,32.27,47.27,4.87,4.63,7.28,1.03,29.91,11.3,27.8,2,0.678,86.1,0.858,141.8,2,0.307,0,0
Maize,Loamy,13,27,31.49,59.72,2.36,1.7,16.35,3.09,38.62,19.52,31.28,2.601,0.558,61.58,1.125,112.71,7,0.504,0,0
Wheat,Loamy,93,189,37.19,81.22,0.66,0.3,26.35,3.18,33.1,17.21,22.72,3.382,0.577,88.03,0.938,178.27,7,0.452,1,391.4746
Tomato,Loamy,24,165,34.86,85.49,8.96,6.24,19.24,3.91,35.74,16.75,22.66,3.591,0.804,66.03,0.679,132.46,1,0.528,1,575.0764
Tomato,Sandy,102,212,33.75,56.84,8.88,7.84,18.01,3.74,23.22,10.67,18.22,2.598,0.63,61.64,1.08,94.95,1,0.368,1,362.0324
Tomato,Clayey,12,308,16.99,81.75,1.37,0.89,14.15,2.88,39.24,19.77,24.74,2,0.552,60.35,0.338,164.68,4,0.417,1,318.5962
Rice,Silty,60,75,20.5,94.57,0.2,0.11,6.59,3.17,29.73,16.67,27.45,2,1.155,72.69,0.309,120.16,5,0.411,0,0
Maize,Sandy,60,92,27.81,76.58,2.99,2.81,24.16,3.98,26.24,10.66,25.46,3.364,1.15,69.02,0.525,165.2,9,0.325,0,0
Tomato,Silty,93,62,31.32,77.36,1.14,0.62,19.27,2.08,26.56,16.94,23.61,2.907,0.754,65.36,0.415,124.35,6,0.495,0,0
Rice,Clayey,86,66,21.97,89.12,0.21,0.2,28.27,1.11,40.11,24.8,36.66,2,0.918,62.59,0.543,173.3,7,0.537,0,0
Wheat,Sandy,100,80,17.15,51.98,6.67,3.59,15.8,4.43,22.53,9.23,21.51,2,0.5,70.72,0.575,85.55,2,0.465,0,0
Tomato,Clayey,1,140,22.16,30.73,18.82,10.21,15.04,4.84,35.08,18.58,31.87,2.8,0.321,66.86,0.71,178.34,2,0.37,0,0
Rice,Silty,43,130,32.73,94.15,1.29,1.17,29.36,2.43,28.85,13.19,22.35,2.476,1.104,79.14,0.85,126.4,8,0.328,1,262.3279
Tomato,Loamy,55,254,35.18,61.88,4.1,2.16,8.53,4.96,30.38,16.13,28.67,2.96,1.05,71.3,0.617,116.91,5,0.596,0,0
Maize,Loamy,40,320,36,81.07,0.2,0.12,11.31,1.95,37.29,18.68,24.16,2,0.98,73.5,1.171,84.17,3,0.534,1,719.5672
Maize,Silty,64,29,23.71,82.81,1.38,1.02,17.2,0.8,26.5,17.62,24.28,2,1.106,83,0.788,102.79,2,0.398,0,0
Wheat,Loamy,34,202,23.57,55.84,0.35,0.28,18.09,3.08,31.59,15.45,19.45,2,0.922,70.47,1.089,111.26,3,0.558,1,657.761
Tomato,Silty,34,237,24.35,65.18,0.17,0.08,18.72,4.41,26.63,12.84,24.15,2.792,0.892,64.97,1.022,152.82,8,0.439,0,0
Rice,Sandy,48,87,23.64,65.09,2.67,2.3,10.3,3.28,26.32,9.09,20.96,2.509,1.144,68.84,0.343,149.74,2,0.58,0,0
Wheat,Sandy,33,96,30.32,44.31,4.86,3.25,28.17,0.54,26.34,9.94,21.75,3.405,0.914,80.38,0.724,168.55,7,0.576,0,0
Tomato,Sandy,68,287,23.24,37.65,1.81,1.7,22.59,0.55,22.48,14.28,18.56,2.496,0.949,63.54,1.026,173.97,8,0.509,1,238.9114
Wheat,Loamy,102,339,15.47,65.33,2.23,1.77,11.46,3.76,32.14,19.32,27.77,2,0.45,79.65,1.116,152.68,10,0.366,0,0
Rice,Clayey,30,289,25.1,37.81,0.95,0.51,12.35,4.3,38.04,24.94,38.03,2,1,81.8,0.87,149.04,10,0.597,0,0
Wheat,Loamy,117,252,20.16,52.5,4,2.45,27.01,1.64,39.81,19.14,25.18,2.131,0.45,79.32,1.139,169.95,7,0.492,0,0
Wheat,Loamy,116,180,15.66,42.1,1.34,1.18,14.51,2.62,38.68,19.12,26.09,2.259,0.45,70.9,0.897,93.09,6,0.539,1,682.9424
Wheat,Clayey,110,100,25.83,75.95,0.21,0.13,18.91,4.82,41.3,23.66,29.95,2.409,0.45,79.61,0.488,87.74,8,0.458,1,286.0597
Tomato,Clayey,84,73,19.74,86.68,0.54,0.26,8.01,2.57,41.28,23.9,27.58,2,0.824,84.94,0.803,150.77,8,0.571,1,461.2268
Rice,Clayey,90,131,25.41,67.56,0.41,0.41,11.29,1.11,44.36,23.27,35.92,2,0.882,69.46,0.98,110.97,8,0.338,0,0
Maize,Clayey,79,182,21.39,56.66,1.72,1.65,15.41,4.6,44.65,21.14,34.27,2,0.941,68.06,0.9,122.42,8,0.483,1,547.7628
Tomato,Loamy,71,194,28.89,94.78,0.2,0.12,21.4,2.73,39.25,16.13,27.7,2.156,0.926,88.71,0.375,140.78,8,0.434,1,185.8287
Maize,Silty,71,18,37.79,31.38,4.93,3.05,12.01,2.05,25.31,12.77,20.69,2.279,1.029,86.74,0.513,175.08,7,0.566,0,0
Maize,Sandy,114,126,27.59,49.78,7.16,6.6,28.77,0.94,21.6,13.77,19.23,2.055,0.54,68.1,0.919,167.34,3,0.49,1,18.1017
Tomato,Silty,29,211,29.88,48.11,0.86,0.34,10.51,2.56,29.01,13.4,18.98,2.006,0.855,65.12,0.775,153.4,4,0.526,1,453.5641
Tomato,Loamy,23,7,36.14,53.15,1.99,1.26,24.47,3.96,38.12,16.01,21.6,2.808,0.783,72.7,0.328,123.07,6,0.472,1,304.6117
Rice,Clayey,34,114,23.6,44.99,2.2,0.95,14.11,3.73,35.78,21.26,27.34,2.196,1.032,75.16,0.965,159.27,10,0.377,1,480.4117
Rice,Sandy,84,340,18.83,47.18,12.6,11.58,25.84,2.73,20.69,9.95,13.06,2.075,0.936,65.05,0.371,97.98,4,0.395,1,184.4247
Wheat,Sandy,15,84,21.5,46.75,0.2,0.14,28.08,3.74,27,10.62,22.06,2.467,0.67,60.74,0.466,160.76,5,0.429,0,0
Maize,Silty,97,339,24.26,62.87,3.31,3.29,9.68,2.08,25.87,14.42,22.46,2,0.743,84.55,1.114,127.53,9,0.578,0,0
Rice,Loamy,53,361,29.84,55.42,1.27,0.66,17.29,3.81,35.13,16.25,28.96,2.891,1.184,87.74,0.584,106.16,2,0.311,1,169.0394
Wheat,Loamy,17,102,15.11,71.55,2.09,1.25,8.86,0.89,31.71,18.81,27.38,2,0.726,62.07,0.331,126.37,4,0.361,1,98.611
Rice,Loamy,64,93,34.63,63.44,0.73,0.37,22.65,1.4,30.68,19.78,26.33,2.961,1.118,85.22,0.316,158.87,3,0.489,0,0
Tomato,Sandy,84,316,16.75,41.92,0.52,0.22,25.81,4.45,20.08,12.56,12.56,2.271,0.824,73.27,1.142,145.74,6,0.35,1,513.9456
Rice,Silty,61,102,35.72,82.65,0.84,0.81,14.74,1.82,26.34,15.28,21.65,3.33,1.145,65.35,0.635,93.7,1,0.328,1,192.7725
Maize,Sandy,57,251,36.84,60.69,0.22,0.19,14.92,1.43,21.87,8.24,10.45,2.54,1.124,71.59,0.859,149.15,9,0.541,1,538.2211
Rice,Sandy,77,24,37.77,39.96,0.98,0.88,10.1,0.9,28.6,10.97,14.71,3.225,1,85.98,0.673,163.31,7,0.496,1,423.7607
Maize,Clayey,108,365,33.62,40.85,3.52,2.23,12.66,2.27,37.75,24.63,37.75,2.338,0.622,63.66,0.492,95.07,4,0.568,1,13.0895
Tomato,Silty,88,167,18.26,81.8,3.16,3.01,13.1,0.8,25.82,14.09,17.14,2,0.793,62.96,1.09,86.16,9,0.427,1,582.2068
Maize,Clayey,118,140,31.24,75.69,2.43,1.1,8.89,2.74,36.77,24.94,32.15,2.095,0.54,88.97,1.155,85.67,9,0.314,0,0
Rice,Loamy,111,94,19.68,62.92,0,0,12.75,4.64,35.46,19.06,29.62,2,0.63,68.81,1.189,82.23,6,0.339,0,0
Wheat,Sandy,120,181,35.63,49.9,0.4,0.27,27.68,4.04,21.64,10.13,15.66,2,0.45,85.84,0.337,81.79,4,0.501,1,96.1989
Tomato,Silty,37,64,22.28,59.93,5.55,2.7,13.13,0.68,31.2,13.07,15.87,2,0.915,76.85,0.345,160.49,6,0.502,1,319.9654
Rice,Loamy,7,4,22.52,71.37,0.95,0.45,11.86,1.85,35,19.66,30.86,2,0.557,67.21,1.072,153.88,8,0.363,0,0
Tomato,Silty,8,94,36.11,87.15,7.3,5.23,14.62,1.34,34.3,14.13,32.55,2.65,0.468,68.85,0.459,174.16,7,0.331,0,0
Tomato,Sandy,87,272,15.3,66.13,6.23,3.23,29.01,0.8,25.16,9.39,17.23,2.581,0.801,72.36,0.805,115.58,2,0.523,0,0
Rice,Silty,78,283,19.46,47.99,0.5,0.45,24.11,0.99,34.79,15.12,24.41,2.253,0.991,64.49,0.822,150.89,2,0.484,1,576.5387
Rice,Loamy,68,132,24.7,32.78,6.85,6.43,10.04,4.59,32.06,19.22,23.36,2.09,1.082,81.3,0.896,121.09,2,0.467,1,398.32
Wheat,Clayey,21,72,31.12,41.4,2.97,2.43,23.81,1.9,39.2,22.45,28.18,2,0.818,72.53,0.334,136.03,7,0.457,1,229.7738
Tomato,Sandy,61,304,29.89,72.26,2.99,1.62,24.16,2.27,28.44,10.16,15.65,2.78,1.003,86.68,0.578,123.89,5,0.432,1,388.4737
Tomato,Clayey,110,81,30.4,40.43,5.75,4.98,28.75,2.69,40.78,18.39,28.09,2.406,0.63,87.47,0.763,121.53,6,0.45,1,380.7712
Rice,Sandy,74,174,35.24,61.3,1.56,0.67,27.28,3.85,22.35,8.97,17.15,3.495,1.027,87.41,0.457,104.54,9,0.464,0,0
Maize,Loamy,86,300,17.78,75.43,3.99,3.12,7.38,4.09,36.44,16.27,32.96,2,0.864,79.48,1.15,138.1,6,0.303,0,0
Rice,Sandy,94,52,27.01,50.03,3.31,3.16,16.36,4.84,27.6,13.33,19.62,2,0.845,74.28,1.046,106.13,9,0.353,0,0
Tomato,Clayey,94,290,31.69,73.49,4.43,3.36,22.57,1.45,42.84,18.93,28.44,2.318,0.747,62.53,0.425,94.02,9,0.317,1,351.5111
Rice,Sandy,80,237,29.63,67.77,3.24,3.08,29.33,1.85,25.26,12.75,24.86,3.007,0.973,82.67,0.904,154.97,7,0.564,0,0
Wheat,Loamy,75,277,25.31,58.53,0.25,0.2,7.13,1.91,33.23,16.3,23.37,2,0.775,62.67,0.669,144.58,3,0.523,1,435.6651
Maize,Sandy,86,280,15.39,88.32,1.04,0.91,14.21,2.5,27.18,10.46,15.6,2.009,0.864,65.47,0.58,109.31,3,0.563,1,385.0742
Rice,Clayey,29,44,16.39,74.98,8.44,5.67,17.31,4.13,37.49,21.94,32.35,2,0.992,85.28,0.562,143.04,9,0.535,0,0
Wheat,Loamy,25,254,17.74,53.44,0.76,0.59,15.33,1.58,36.2,18.88,31,2.923,0.85,85.61,0.896,82.65,1,0.455,0,0
Tomato,Clayey,58,359,22.89,82.28,1.92,0.82,16.39,4.02,35.41,19.22,22.19,2,1.027,73.04,1.113,178.84,2,0.515,1,900.2473
Rice,Sandy,14,134,17.71,77.98,1.32,0.55,14.23,1.42,27.77,11.72,18.81,2.181,0.714,81.6,1.053,97.36,5,0.53,1,468.0607
Tomato,Silty,78,56,24.8,81.46,0.27,0.13,29.27,3.7,33.06,14.69,21.19,2.751,0.871,66.6,0.614,174.16,5,0.41,1,508.5383
Wheat,Clayey,66,14,19.11,71.66,0.6,0.43,25.08,4.1,39.59,20.64,32.76,2.279,0.874,86.9,0.937,86.83,1,0.503,0,0
Tomato,Sandy,54,178,32.92,54.66,1.01,0.9,23.42,4.34,26.91,12.13,18.52,2.51,1.042,79.62,0.775,150.82,3,0.426,1,323.3214
Wheat,Silty,77,101,35.04,52.66,1.87,1.68,15.27,2.8,28.93,13.13,26.04,2.231,0.753,85.73,0.696,102.21,9,0.531,0,0
Wheat,Silty,67,180,23.96,72.52,6.23,6.03,27.04,1.98,25.02,12.55,17.62,2.914,0.863,71.76,0.567,176.53,6,0.394,1,219.0583
Wheat,Loamy,30,257,26.76,38.51,2.17,1.24,7.33,3.98,31.08,17.85,26.99,2.26,0.89,61.2,0.373,111.52,1,0.499,1,11.8547
Rice,Silty,18,268,36.93,83.29,3.17,3.01,8.59,1.94,32.59,14.74,24.96,3.08,0.803,89.79,0.473,83.96,9,0.45,0,0
Tomato,Clayey,54,362,27.32,54.07,1.67,1.48,28.85,1.17,39.14,18.92,19.53,3.316,1.042,82.86,0.81,83.35,9,0.429,1,849.4625
Tomato,Clayey,100,37,37.89,70.97,6.12,3.92,19.17,4.26,44.01,23.15,29.1,2.862,0.7,64.99,0.956,165.56,5,0.514,1,1010.2773
Maize,Silty,21,204,18.27,62.44,3.26,2.08,8.99,2.35,29.17,12.58,16.17,2,0.716,79.2,0.333,86.97,7,0.408,0,0
Maize,Sandy,53,259,34.83,63.76,0.29,0.25,28.73,3.07,28.46,9.19,14.57,2.475,1.09,88.37,0.641,162.8,2,0.366,1,365.7225
Maize,Clayey,83,155,26.44,77.97,1.95,1.48,29.37,4.63,41.73,20.38,27.51,2.876,0.897,86.95,0.449,95.01,9,0.594,1,274.8122
Maize,Clayey,16,238,15.52,70.73,5.27,4.02,27.04,1.11,43.6,22.11,35.16,2,0.617,88.2,0.842,107.62,9,0.344,1,289.7404
Tomato,Loamy,28,309,37.36,46.27,3.97,2.27,10.96,3.01,32.27,15.06,26.92,2,0.847,63.3,1.078,178.12,9,0.437,0,0
Wheat,Sandy,4,100,37.2,34.82,7.07,6.21,11.96,3.01,22.12,10.56,12.08,2.669,0.362,85.62,1.137,152.5,1,0.391,1,478.4244
Wheat,Silty,115,273,23.82,84.62,0.78,0.62,15.17,4.38,32.08,13.3,25.01,2.132,0.45,86.74,1.097,94.6,1,0.417,1,381.3887
Rice,Sandy,55,113,36.95,87.52,11.34,5.5,19.48,2.04,22.62,11.05,11.88,2.268,1.2,65.42,1.085,107.04,5,0.509,1,798.2948
Wheat,Loamy,15,110,18.24,40.69,1.01,0.68,29.8,2.31,30.43,18.84,22.53,2,0.67,81.23,0.841,127.58,2,0.574,1,331.3945
Tomato,Loamy,64,143,30.64,50.12,0.15,0.1,28.9,2.84,30.79,18.69,24.56,3.255,0.98,80.78,0.519,168.51,5,0.53,1,157.4126
Tomato,Sandy,65,167,19.41,48.35,2.05,1.98,28.03,1.25,22.68,11.22,15.51,2,0.972,80.66,0.972,151.1,5,0.421,1,304.7906
Tomato,Loamy,112,260,20.67,90.93,0.35,0.25,7.23,2.62,34.1,16.27,20.19,2,0.63,77.18,0.952,149.51,3,0.406,0,0
Rice,Loamy,111,145,32.92,43.31,3.43,1.68,23.93,2.46,32.56,19.75,21.22,2.625,0.63,67.14,0.45,116,1,0.447,1,318.6196
Maize,Loamy,16,230,23.68,40.83,6.92,6.45,26.92,1.39,33.05,15.92,27.61,2,0.617,63.23,0.475,145.42,6,0.49,0,0
Wheat,Sandy,118,268,15.16,41.82,7.63,3.85,13.33,4.25,22.5,12.87,16.56,2.335,0.45,67.37,0.398,97.29,1,0.482,1,124.2116
Tomato,Loamy,20,32,24.53,77.44,2.8,2.15,10.49,2.44,33.09,15.86,23.24,2,0.72,87.43,0.749,136.93,4,0.406,1,295.6089
Tomato,Silty,64,299,20.25,87.72,2.3,1.48,23.71,1.88,29.14,12.71,24.99,2.142,0.98,66.77,0.589,136.02,1,0.427,0,0
Maize,Silty,33,219,30.72,55.57,15.34,7.44,7.27,1.09,28.99,17.17,27.18,2.618,0.92,72.95,1.11,148.78,2,0.557,0,0
Tomato,Clayey,81,177,19.47,38.85,2.6,1.61,28.52,0.9,38.73,21.6,23.69,2.59,0.848,73.23,0.333,104.27,5,0.448,1,299.3053
Wheat,Silty,69,104,34.37,68.07,7.87,3.62,8.9,4.82,32.89,15.1,21.8,2.767,0.841,87.73,0.592,91.68,10,0.307,1,300.022
Rice,Clayey,69,236,21.14,43.65,7.45,5.37,16.44,4.98,35.47,19.5,24.75,2,1.073,63.45,1.088,176.73,4,0.422,1,770.5668
Tomato,Sandy,58,93,24.04,34.17,1.03,0.9,29.57,4.54,28.94,13.62,27.65,3.109,1.027,74.36,1.199,95.32,1,0.419,0,0
Wheat,Loamy,39,201,21.85,87.61,0.04,0.03,29.71,2.56,37.61,17.74,29.3,2.635,0.962,84.28,0.951,113.71,4,0.503,0,0
Tomato,Silty,77,299,29.81,86.6,1.74,1.35,24.4,4.14,28.53,16.17,17.53,3.541,0.879,61.85,1.111,167.11,3,0.492,1,835.619
Maize,Clayey,108,231,17.33,93.43,5.93,4.12,25.98,4.25,41.63,22.5,33.27,2.631,0.622,82.37,0.315,139.43,9,0.522,0,0
Tomato,Sandy,36,255,26,60.81,5.43,2.64,29.18,1.85,25.04,9.82,18.68,3.272,0.908,62.82,0.995,101.53,2,0.592,0,0
Tomato,Clayey,94,85,22.69,49.11,2.78,2.4,28.19,3.14,39.35,21.58,30.07,2.842,0.747,73.57,0.715,127.98,7,0.489,1,383.2587
Rice,Loamy,68,35,35.34,80.04,0.51,0.51,20.55,4.81,32.16,16.15,19.93,2.766,1.082,64.74,0.921,164.09,1,0.351,1,676.8704
Maize,Silty,87,117,16.69,41.73,0.34,0.19,23.37,1.76,32.92,13.92,25.58,2.465,0.853,71.69,0.687,178.92,4,0.552,0,0
Maize,Sandy,21,176,34.08,45.81,9.28,8.82,19.84,3.48,29.74,11.05,21.74,3.265,0.716,61.12,0.812,144.31,5,0.549,0,0
Rice,Clayey,63,276,18.86,46.62,1.64,0.73,17.66,3.48,41.09,21.53,25.32,2,1.127,85.27,0.534,105.36,4,0.474,1,434.0098
Tomato,Sandy,85,85,17.04,91.86,3.13,1.9,27.02,2.54,24.93,14.23,17.72,2.613,0.817,64.01,0.817,161.25,3,0.529,1,350.065
Wheat,Clayey,6,117,19.65,77.44,7.09,5.93,23.45,2.71,35.93,20.42,27.35,2.206,0.418,65.62,0.562,160.87,5,0.316,1,263.3338
Maize,Clayey,24,362,17.36,38.69,6.12,5.26,26.5,2.55,37.86,20.28,29.91,2.16,0.776,73.75,0.552,168.92,9,0.597,0,0
Maize,Loamy,111,204,26.98,36.03,2.51,2.32,7.4,2.84,39.13,15.35,23.72,2.573,0.54,60.58,0.594,93.63,6,0.478,1,676.5745
Tomato,Loamy,53,146,37.73,84.78,2.01,1.74,19.41,1.17,32.83,18.69,19.04,3.392,1.035,87.63,0.481,116.51,7,0.599,1,321.1409
Tomato,Clayey,95,215,15.79,82.15,3.99,2.67,13.24,4.08,37.39,23.83,32.72,2.29,0.739,72.41,0.5,103.36,8,0.585,0,0
Maize,Silty,83,105,25.61,73.61,1.29,0.86,17.83,3.47,28.3,12.68,18.13,2.282,0.897,75.89,1.138,101.63,8,0.321,1,656.3918
Tomato,Sandy,102,349,23.88,42.75,2.95,1.2,20.32,4.88,25.19,11.58,16.15,2.566,0.63,86.08,0.709,116.54,10,0.411,0,0
Wheat,Sandy,76,297,22.81,61.22,0.07,0.07,26.14,1.61,20.39,13.03,18.8,2.795,0.764,77.28,0.853,84.75,5,0.535,0,0
Maize,Loamy,78,356,22.63,69.18,5.22,3.81,5.8,1.16,31.42,16.07,28.72,2,0.952,62.39,0.815,164.8,3,0.487,0,0
Wheat,Silty,50,69,35.59,90.59,18.69,15.65,9.1,2.04,30.62,17.34,27.04,2.664,1.05,84.09,0.539,165.18,9,0.356,0,0
Wheat,Clayey,12,255,15.44,41.01,9.28,4.93,28.04,2.79,35.21,23.76,31.95,2,0.586,87.48,0.3,174.34,8,0.397,0,0
Tomato,Loamy,56,231,32.82,63.5,1.34,1.03,29.18,1.42,37.54,15.81,27.48,3.747,1.042,84.25,0.394,87.03,5,0.334,1,187.8689
Wheat,Clayey,120,203,20.82,40.25,2.27,2.09,6.39,2.57,38.73,24.34,33.19,2,0.45,65.7,1.048,137.13,10,0.358,1,383.5138
Tomato,Clayey,15,362,23.82,58.85,0.81,0.4,13.29,3.39,36.46,18.78,19.8,2,0.615,74.43,0.398,80.65,7,0.565,1,396.8704
Rice,Loamy,83,248,24.66,43.01,1.08,0.82,5.24,0.75,37.35,17.35,23.01,2,0.945,68.98,0.486,138.98,3,0.54,1,441.3561
Tomato,Silty,92,249,22.01,84.35,1.83,1.01,23.94,3.91,27.84,13.03,17.95,2.272,0.762,77.94,1.122,89.75,2,0.461,1,541.0055
Wheat,Sandy,40,144,17.15,46.56,4.12,3.19,22.05,4.73,27.22,11.08,15.26,2,0.97,85.12,1.027,118.62,10,0.462,1,570.5487
Rice,Loamy,41,283,17.63,57.11,0.05,0.03,19.12,1.71,32.39,19.72,32.29,2.672,1.088,72,0.348,112.38,2,0.395,0,0
Tomato,Silty,69,356,21.86,56.51,1.5,1.37,22.29,3.99,30.61,14.12,28.81,2.94,0.941,77.77,0.879,113.08,7,0.551,1,14.0371
Wheat,Clayey,69,241,33.9,86.31,2.44,1.98,18.44,2.38,42.2,21.47,34.03,2.889,0.841,60.31,0.764,99.18,5,0.429,0,0
Maize,Loamy,6,341,18.1,79.26,0.73,0.4,10.97,3.49,30.09,19.2,27.56,2,0.419,70.52,0.628,90.47,5,0.449,0,0
Maize,Sandy,87,229,32.08,33.74,0.25,0.11,23.86,3.84,20.66,14.93,17.91,3.515,0.853,78.63,0.748,81.62,7,0.574,0,0
Tomato,Sandy,67,31,21.64,34.36,2.33,1.53,24.58,1.83,23.5,11.67,18.56,2.198,0.957,89.72,0.436,155.1,8,0.466,0,0
Tomato,Clayey,101,109,35.32,65.83,3.05,2.72,26.36,4.04,45,19.88,23.04,3.018,0.63,68.35,1.159,171.61,5,0.37,1,1354.9547
Maize,Loamy,33,27,24.85,57.8,3.07,2.04,28.85,0.97,34.63,18.77,33.29,2.975,0.92,65.24,0.454,169.48,6,0.311,0,0
Wheat,Sandy,43,343,18.95,47.91,1.32,1.01,23.69,4.94,24.67,10.34,15.86,2.536,0.994,86.87,0.467,143.33,7,0.318,1,211.3975
Wheat,Loamy,21,160,37.67,81.52,0.81,0.46,6.36,2.02,31.21,17.57,28.53,2,0.818,76.88,0.632,92.11,10,0.415,0,0
Wheat,Sandy,84,17,19.06,38.36,0.75,0.53,5.52,1.51,25.52,9.63,12.86,2,0.676,89.87,0.491,136.79,7,0.35,1,256.3078
Tomato,Clayey,65,267,28.06,93.31,0.12,0.12,23.5,1.12,38.34,20.09,35.26,3.122,0.972,67.62,0.582,89.81,9,0.515,0,0
Rice,Clayey,103,129,28.09,31.57,0.61,0.43,6.4,4.15,39.27,23.59,39.27,2,0.764,65.87,0.336,131.28,2,0.447,0,0
Rice,Loamy,111,220,23.57,37.68,5.12,4.83,12.9,3.14,33.33,16.36,22.52,2,0.63,70.67,0.853,165.76,7,0.445,1,455.3914
Rice,Silty,17,82,36.88,50.24,0.01,0.01,8.4,4.78,33.4,16.87,20.97,2.804,0.781,77.34,0.517,99.92,3,0.57,1,302.1597
Rice,Silty,93,49,34.41,63.09,0.13,0.11,29.22,3.41,32.93,16.46,29.95,3.533,0.855,62.29,1.174,173.3,2,0.431,0,0
Rice,Clayey,8,41,34.09,44.05,0.41,0.38,12.91,2.03,43.89,22.99,31.65,2.275,0.579,71.67,0.403,118.62,10,0.374,1,296.7007
Tomato,Sandy,64,20,37.41,77.85,1.64,0.86,6.38,4.26,21.69,8.23,14.23,2.943,0.98,61.97,0.37,101.82,7,0.45,1,190.4576
Tomato,Silty,90,327,25.51,53.24,1.22,1.11,28.74,1.77,26.82,14.19,21.26,2.867,0.778,79.73,0.457,130.16,6,0.355,1,126.0903
Rice,Clayey,28,37,17.24,32.5,0.59,0.31,20.22,1.81,35.53,23.3,25.77,2.398,0.984,70.32,0.788,166.93,9,0.475,0,0
Tomato,Sandy,98,39,32.61,87.05,0.35,0.31,5.9,0.63,26.41,13.03,23.07,2.158,0.716,89.12,0.973,107.06,5,0.593,0,0
Tomato,Sandy,90,109,23.76,91.35,8.38,4.83,25.83,1.63,20.96,10.3,18.4,2.808,0.778,63.09,0.803,97.23,3,0.416,0,0
Rice,Silty,13,64,19.38,70.21,7.27,6.75,8.81,1.68,29.59,15.62,26.87,2,0.691,86.83,1.074,143.96,7,0.429,0,0
Wheat,Clayey,108,175,26.11,82.42,4.43,3.1,25.06,1.84,43.03,24.84,27.24,3.74,0.45,60.79,0.834,149.22,6,0.501,1,896.5386
Tomato,Sandy,101,279,36.29,37.87,0.87,0.85,20.07,2.16,20.82,12.49,19.24,2.488,0.63,79.65,0.425,87.2,9,0.461,0,0
Wheat,Sandy,13,32,18.94,47.47,1.17,0.53,9.43,3.1,21.35,10.1,19.08,2,0.614,88.44,0.467,105.28,3,0.586,0,0
